date,price,market_cap,total_volume,coin_id,symbol
2025-07-18,3481.8828152374017,420347293649.25085,45678965280.66659,ethereum,ETH
2025-07-19,3547.317079001209,427841866746.5711,72535524453.98022,ethereum,ETH
2025-07-20,3594.3185010809702,433877664505.94135,27017909119.384834,ethereum,ETH
2025-07-21,3758.605581813957,453825859015.21515,55175056732.09093,ethereum,ETH
2025-07-22,3765.453624023574,454513156113.6638,47245582310.60992,ethereum,ETH
2025-07-23,3746.9406687316323,452355960897.77356,52357062545.19388,ethereum,ETH
2025-07-24,3630.053531480921,438111570682.8548,47655045407.89862,ethereum,ETH
2025-07-25,3708.4299352383423,447620332487.87305,47332291813.01175,ethereum,ETH
2025-07-26,3723.0529092785596,449379722345.43585,48622472830.12327,ethereum,ETH
2025-07-27,3742.4314258659915,451746443518.379,25352434514.72998,ethereum,ETH
2025-07-28,3864.1248374654765,466077664312.2753,26045280361.31318,ethereum,ETH
2025-07-29,3786.303845995956,457680388920.6686,38743589826.42135,ethereum,ETH
2025-07-30,3788.5983716058226,457213828532.1186,34923369443.87463,ethereum,ETH
2025-07-31,3807.4166010824188,459449027043.4022,28710848449.745983,ethereum,ETH
2025-08-01,3696.6628530851194,446264222707.4442,31312115686.896267,ethereum,ETH
2025-08-02,3483.1789551579504,420327732498.14484,42431734230.15089,ethereum,ETH
2025-08-03,3397.4855484143177,410229849339.571,28164675444.895985,ethereum,ETH
2025-08-04,3497.573127822404,422223994717.4719,18338718249.174084,ethereum,ETH
2025-08-05,3715.7090148550706,448517239894.4303,28536476594.95387,ethereum,ETH
2025-08-06,3612.442432236669,436373875222.1905,29411744198.367584,ethereum,ETH
2025-08-07,3684.0459195726726,444737780081.9074,23256150904.877857,ethereum,ETH
2025-08-08,3911.2609462690816,471838906504.6792,31981627910.70641,ethereum,ETH
2025-08-09,4012.97697001236,484483868122.1773,37861934037.3479,ethereum,ETH
2025-08-10,4265.563258333516,514414914903.2612,37686735734.66866,ethereum,ETH
2025-08-11,4253.591618951185,513073639261.6181,26481154882.304214,ethereum,ETH
2025-08-12,4228.824213261163,510225780028.6237,43010572110.88258,ethereum,ETH
2025-08-13,4606.809427709522,556502855391.5187,52840297700.59488,ethereum,ETH
2025-08-14,4763.652535322159,575091067506.1215,58870844448.59354,ethereum,ETH
2025-08-15,4554.291501538621,551514703070.4648,66924319529.18441,ethereum,ETH
2025-08-16,4430.532465017841,534578587192.13434,50038927770.639565,ethereum,ETH
2025-08-17,4426.826913311333,534150282399.6513,21104759591.061535,ethereum,ETH
2025-08-18,4487.118013759226,541923097741.9142,28100356151.382523,ethereum,ETH
2025-08-19,4317.2757573282315,520793172158.0575,43935703176.22011,ethereum,ETH
2025-08-20,4074.495786100515,491872355111.46844,41626342123.38552,ethereum,ETH
2025-08-21,4330.491598768078,523004794309.38104,39857177022.84433,ethereum,ETH
2025-08-22,4224.438592580698,509951239220.54224,21703206731.83165,ethereum,ETH
2025-08-23,4829.225541798332,582817007170.4178,61856673933.04883,ethereum,ETH
2025-08-24,4773.884088598777,576242312916.0488,27814037595.094646,ethereum,ETH
2025-08-25,4778.10916071381,577227233251.8729,41157770217.98017,ethereum,ETH
2025-08-26,4381.626176071471,529509245849.7141,48217069690.885376,ethereum,ETH
2025-08-27,4602.369685333965,555061696726.733,35263906282.176544,ethereum,ETH
2025-08-28,4500.1451479982325,543608856125.4653,35898825608.295586,ethereum,ETH
2025-08-29,4507.560431032719,543249516158.12427,29189873860.227936,ethereum,ETH
2025-08-30,4364.358521430426,526830870964.3115,38006835596.328514,ethereum,ETH
2025-08-31,4373.360357620914,527539496668.2519,19199178188.100254,ethereum,ETH
2025-09-01,4388.931464519364,529740073153.04834,22269795530.723904,ethereum,ETH
2025-09-02,4303.202222745541,519534784996.7176,31725195638.84437,ethereum,ETH
2025-09-03,4325.856306225941,521450862214.85895,32990260980.341236,ethereum,ETH
2025-09-04,4449.8670977283255,537549763927.1384,30818352470.84173,ethereum,ETH
2025-09-05,4298.094660544595,519319443328.1493,29893273380.076374,ethereum,ETH
2025-09-06,4306.613513100346,519830732357.0378,37950930494.82325,ethereum,ETH
2025-09-07,4273.110024157841,515852185188.91895,14497961323.191992,ethereum,ETH
2025-09-08,4304.032421076036,519663340480.02106,14920604279.616674,ethereum,ETH
2025-09-09,4309.685702772004,519912892077.1541,26393884729.75394,ethereum,ETH
2025-09-10,4309.342746120013,520461727067.3641,28408982228.170376,ethereum,ETH
2025-09-11,4347.476803670656,524803924739.0028,34848418445.62599,ethereum,ETH
2025-09-12,4459.31901599882,538261336997.6129,33593064568.960487,ethereum,ETH
2025-09-13,4708.841744149995,567724477218.3574,39138140052.58744,ethereum,ETH
2025-09-14,4667.699652630318,563397805739.7904,30452117451.68358,ethereum,ETH
2025-09-15,4609.786110950785,556354045428.2224,23827529566.903904,ethereum,ETH
2025-09-16,4524.244939102515,545926863107.31946,33863743706.690956,ethereum,ETH
2025-09-17,4504.266635522813,543407922913.00836,28053763147.05997,ethereum,ETH
2025-09-18,4591.768794331328,554600592896.1794,41727122821.76891,ethereum,ETH
2025-09-19,4590.6367372135155,554210013387.6136,29381752919.13096,ethereum,ETH
2025-09-20,4470.479474009387,539242810184.06946,28156319659.26727,ethereum,ETH
2025-09-21,4481.799472368209,540941822331.27405,14314030981.454111,ethereum,ETH
2025-09-22,4452.87113037789,537406899904.3973,15910684640.581882,ethereum,ETH
2025-09-23,4199.951774017639,507148578276.2705,52988093949.58233,ethereum,ETH
2025-09-24,4166.1905498775295,503209949445.43353,29902684711.810097,ethereum,ETH
2025-09-25,4148.65682762035,500734284408.361,29988924904.58222,ethereum,ETH
2025-09-26,3863.0632875907245,466825639887.3833,63461265827.195854,ethereum,ETH
2025-09-27,4037.0979210260916,486889364203.26996,43443403793.85234,ethereum,ETH
2025-09-28,4018.167453105732,485207355886.1105,17011629273.367075,ethereum,ETH
2025-09-29,4141.839664086501,499628731251.1227,21656522951.624653,ethereum,ETH
2025-09-30,4215.61278947927,508909498092.11896,34604598514.675,ethereum,ETH
2025-10-01,4144.230463371581,500218841768.296,34013325290.49775,ethereum,ETH
2025-10-02,4343.951983440489,524308225825.147,42741046618.56157,ethereum,ETH
2025-10-03,4484.006245909478,540553843152.3364,41104321433.11955,ethereum,ETH
2025-10-04,4515.759068159723,545075315730.44794,45970576945.09693,ethereum,ETH
2025-10-05,4487.706651673285,541611848322.7991,20597928707.86516,ethereum,ETH
2025-10-06,4515.321391965295,545075062109.96124,40355486904.311195,ethereum,ETH
2025-10-07,4689.131734746596,566339901682.9528,41164885082.65789,ethereum,ETH
2025-10-08,4454.32846286666,537522914209.85065,49804861778.9329,ethereum,ETH
2025-10-09,4527.578004547945,546454608029.64813,36623453162.8216,ethereum,ETH
2025-10-10,4368.649439385323,527213250874.5829,42731695438.879875,ethereum,ETH
2025-10-11,3835.632842050135,463578765352.86365,90784076986.425,ethereum,ETH
2025-10-12,3749.218185954949,453043143808.8669,54140013164.198265,ethereum,ETH
2025-10-13,4159.729307791921,501175375996.802,57642806541.61372,ethereum,ETH
2025-10-14,4246.217461554773,512317800004.74445,46426992105.166855,ethereum,ETH
2025-10-15,4128.888447033946,498801738230.5064,62876294833.97642,ethereum,ETH
2025-10-16,3983.1544356894233,480502921991.1765,44806571765.16941,ethereum,ETH
2025-10-17,3890.1993012479857,469582926617.41595,44673230678.7307,ethereum,ETH
2025-10-18,3831.244175835675,462727285553.6246,52519500424.67195,ethereum,ETH
2025-10-19,3889.4990302043157,469204461222.8663,19845543405.385517,ethereum,ETH
2025-10-20,3985.0765644046796,480734836101.83966,29233928200.2202,ethereum,ETH
2025-10-21,3978.7901551344357,480395580826.9953,35767064768.00727,ethereum,ETH
2025-10-22,3877.4871979550117,467810730089.432,46069514674.15889,ethereum,ETH
2025-10-23,3801.7907952382916,458856134706.02246,41712359613.706055,ethereum,ETH
2025-10-24,3855.8421162401205,465361564940.0126,32116755772.61905,ethereum,ETH
2025-10-25,3933.232269901015,474759372126.45776,30026152396.570248,ethereum,ETH
2025-10-26,3952.213557935584,477319399731.4925,12389144280.82482,ethereum,ETH
2025-10-27,4161.590896249249,502918445052.51886,25813518444.008472,ethereum,ETH
2025-10-28,4123.206220671679,497221249584.5864,36948961061.03095,ethereum,ETH
2025-10-29,3982.3127893175442,481161348044.65594,35659878225.70066,ethereum,ETH
2025-10-30,3897.359267616961,470349941761.83514,33522381291.769722,ethereum,ETH
2025-10-31,3802.2953645331804,458793317252.3975,36685058456.47925,ethereum,ETH
2025-11-01,3847.298177365196,464417354244.41925,32814597904.07948,ethereum,ETH
2025-11-02,3872.2118961957594,467387016348.6048,12518543682.642963,ethereum,ETH
2025-11-03,3910.0947691627284,471549372393.21094,15511617607.50217,ethereum,ETH
2025-11-04,3600.71550248779,434149656995.1001,47914058739.68866,ethereum,ETH
2025-11-05,3296.7437604313104,397489340792.3503,68784285690.87129,ethereum,ETH
2025-11-06,3427.6905913706814,413918683595.6081,44374527842.85683,ethereum,ETH
2025-11-07,3308.918164921951,399007356776.52936,33880974985.82207,ethereum,ETH
2025-11-08,3434.3512285299594,414691375367.5941,38972602140.84989,ethereum,ETH
2025-11-09,3401.4594003397083,410599145957.86835,20876971421.901554,ethereum,ETH
2025-11-10,3576.2547046627064,431294295578.2351,25994213654.36895,ethereum,ETH
2025-11-11,3564.6105957999334,430271977432.51276,31866555691.672695,ethereum,ETH
2025-11-12,3416.781328259322,411969837331.5966,36501187500.23736,ethereum,ETH
2025-11-13,3409.6144555411624,411695018306.39923,31722707429.919136,ethereum,ETH
2025-11-14,3235.7276362968546,392354946592.3496,47957135381.43061,ethereum,ETH
2025-11-15,3106.601287865052,376914348602.9677,45035057857.22528,ethereum,ETH
2025-11-16,3170.1129807404664,382460593691.1359,19159039393.797318,ethereum,ETH
2025-11-17,3101.686799467,374435480317.1664,30332766567.569996,ethereum,ETH
2025-11-18,3021.3021576301335,364584346775.1596,39723178401.3899,ethereum,ETH
2025-11-19,3117.2225871583155,375944681644.45795,40531057646.65946,ethereum,ETH
2025-11-20,3017.7483614097955,363582387251.9456,39173261740.03148,ethereum,ETH
2025-11-21,2832.068358334293,342850824587.94714,41625324784.96392,ethereum,ETH
2025-11-22,2764.735218675169,333838550169.9107,49920072209.17851,ethereum,ETH
2025-11-23,2768.6178294996353,334406681065.5302,15277324087.122278,ethereum,ETH
2025-11-24,2799.8149340924633,338053142179.2997,20170660685.078762,ethereum,ETH
2025-11-25,2953.327645752226,357075035362.9083,32699089921.17828,ethereum,ETH
2025-11-26,2955.046469321271,356667974212.06213,23359001752.780495,ethereum,ETH
2025-11-27,3027.477249132549,365169111971.85614,21096541004.26908,ethereum,ETH
2025-11-28,3015.6118196920934,364039549664.8285,16563145331.437607,ethereum,ETH
2025-11-29,3033.135645414151,366085841851.63794,20184482703.163284,ethereum,ETH
2025-11-30,2991.2330117032593,361028197396.32526,12634811464.603792,ethereum,ETH
2025-12-01,2992.8341859495977,361717332403.24976,11969903297.072994,ethereum,ETH
2025-12-02,2799.0367919901605,338070271128.47876,37491168510.09445,ethereum,ETH
2025-12-03,2995.751149322771,362328288750.46765,27518473791.0893,ethereum,ETH
2025-12-04,3195.4089919085554,385765592436.29456,30631265956.32816,ethereum,ETH
2025-12-05,3133.698235618616,378383036980.8902,27914236368.18745,ethereum,ETH
2025-12-06,3022.6564205232035,365052689720.72375,27606937714.571938,ethereum,ETH
2025-12-07,3039.358573133242,366786121380.61804,11344831475.877346,ethereum,ETH
2025-12-08,3052.976330436545,368370755428.0437,19363787894.936527,ethereum,ETH
2025-12-09,3125.321462183988,377375140776.36505,25795397174.943024,ethereum,ETH
2025-12-10,3322.469217836626,401258190140.9822,34333058805.569298,ethereum,ETH
2025-12-11,3326.260211637518,401626272710.5994,31463676851.579826,ethereum,ETH
2025-12-12,3236.0986208578574,390987823733.6906,29805046870.5563,ethereum,ETH
2025-12-13,3085.316694358101,372579486045.7623,25083388430.41613,ethereum,ETH
2025-12-14,3115.225428835284,375945831930.448,10086309656.917572,ethereum,ETH
2025-12-15,3065.4912355563642,369527922358.0662,17335964454.11176,ethereum,ETH
2025-12-16,2964.488557692104,357786162656.10895,30596317990.005627,ethereum,ETH
2025-12-17,2964.2627915054686,357203725063.4325,25164041190.99286,ethereum,ETH
2025-12-18,2827.8041755024283,341276921875.79224,26836168118.615532,ethereum,ETH
2025-12-19,2826.5948465107654,340860880536.8325,30216518962.55933,ethereum,ETH
2025-12-20,2976.796869557769,359446094628.4511,28622463845.69733,ethereum,ETH
2025-12-21,2977.162263207443,359186900440.0731,9046978663.974163,ethereum,ETH
2025-12-22,3001.6008377810244,362519624877.1173,11543764853.447407,ethereum,ETH
2025-12-23,3005.786780691547,362935746891.54517,21151887764.71905,ethereum,ETH
2025-12-24,2965.193660040505,357776430595.61365,23108092257.350555,ethereum,ETH
2025-12-25,2945.9878145019857,355561429533.282,14559942619.27862,ethereum,ETH
2025-12-26,2904.252344599994,350482502400.1858,11886240841.229004,ethereum,ETH
2025-12-27,2926.695639112761,353065144652.60986,19054108852.23608,ethereum,ETH
2025-12-28,2948.8621262576116,355905880030.65027,7543851649.166359,ethereum,ETH
2025-12-29,2947.8597605720547,355840750170.65576,9618433974.572294,ethereum,ETH
2025-12-30,2934.215601758931,354107974761.1568,28073445244.481457,ethereum,ETH
2025-12-31,2970.055474481003,358439004174.8074,18029693561.070618,ethereum,ETH
2026-01-01,2966.7741798134107,358047402285.7328,16641494487.095573,ethereum,ETH
2026-01-02,3000.4191168879165,362099985541.6034,10247591868.396807,ethereum,ETH
